state,gsdp_size,per_capita_income,gsdp_growth_rate,crime_rate,charge_sheeting_rate,unemployment_rate,worker_participation_rate,pci_risk,growth_risk,economic_risk,crime_risk,charge_risk,governance_risk,unemployment_risk,wpr_risk,workforce_risk,state_risk_index
Sikkim ,36825,472543,8.6,119.7,68.2,1.6,69.9,0.0,22.077922077922068,11.038961038961034,3.311670353982301,42.279942279942276,22.795806316962288,0.0,4.075235109717852,2.037617554858926,11.957461636927414
Himachal Pradesh,175173,201854,8.3,256.0,87.0,4.0,71.2,63.98162964783855,24.025974025974023,44.00380183690629,12.735066371681414,15.151515151515156,13.943290761598284,23.076923076923077,0.0,11.538461538461538,23.161851378988704
 Gujarat ,1957583,250100,10.8,738.9,97.2,2.0,56.8,52.577923904385294,7.79220779220779,30.185065848296542,46.121404867256636,0.4329004329004249,23.27715265007853,3.846153846153845,45.14106583072102,24.493609838437433,25.985276112270835
 Chhattisgarh  ,406416,120704,8.5,404.2,87.9,2.4,64.9,83.16271659973575,22.727272727272734,52.94499466350424,22.981194690265482,13.852813852813853,18.417004271539668,7.69230769230769,19.749216300940432,13.720761996624061,28.360920310555993
Karnataka  ,1962725,265623,11.0,268.1,77.5,3.2,53.0,48.90881715448634,6.493506493506501,27.701161823996422,13.571626106194689,28.860028860028862,21.215827483111774,15.384615384615385,57.05329153605015,36.21895346033277,28.37864758914699
 Andhra Pradesh  ,1133837,192587,11.2,368.2,88.9,4.2,57.8,66.17203177702194,5.194805194805198,35.68341848591357,20.49225663716814,12.409812409812403,16.45103452349027,25.0,42.0062695924765,33.50313479623825,28.545862601880696
Madhya Pradesh  ,1136137,121594,10.4,569.3,91.7,2.1,60.7,82.95235101270939,10.389610389610382,46.670980701159884,34.39574115044247,8.369408369408376,21.382574759925422,4.8076923076923075,32.91536050156739,18.86152640462985,28.97169395523839
 Telangana  ,1112456,265942,10.6,436.9,79.7,4.2,58.1,48.833416455316225,9.090909090909093,28.96216277311266,25.24198008849557,25.685425685425685,25.463702886960625,25.0,41.065830721003124,33.03291536050156,29.15292700685828
 West Bengal  ,1363926,124798,10.8,182.8,90.8,3.4,52.7,82.19503489941452,7.79220779220779,44.99362134581116,7.674225663716815,9.668109668109665,8.67116766591324,17.307692307692303,57.9937304075235,37.6507113576079,30.438500123110767
Maharashtra ,3108022,215233,9.1,443.0,82.7,3.5,55.9,60.819291233427805,18.83116883116884,39.82523003229832,25.663716814159287,21.35642135642135,23.51006908529032,18.269230769230766,47.962382445141074,33.11580660718592,32.15036857492485
Uttarakhand   ,272159,211657,8.2,299.4,83.1,2.9,50.1,61.664535434783126,24.67532467532469,43.16993005505391,15.735619469026545,20.779220779220793,18.25742012412367,12.499999999999996,66.14420062695925,39.32210031347962,33.58315016421907
Jharkhand ,343178,78660,8.2,164.5,63.6,2.0,60.7,93.10048147719188,24.67532467532469,58.88790307625828,6.4090154867256635,48.9177489177489,27.663382202237283,3.846153846153845,32.91536050156739,18.38075717386062,34.97734748411873
Tripura ,64778,140803,8.7,110.1,75.9,3.0,50.6,78.41199982036197,21.42857142857143,49.9202856244667,2.6479535398230087,31.16883116883116,16.908392354327084,13.461538461538462,64.57680250783699,39.01917048468773,35.28261615449384
Jammu & Kashmir ,195458,116619,7.9,223.1,79.3,5.2,58.3,84.12827100760389,26.623376623376615,55.37582381549025,10.460453539823009,26.26262626262627,18.36153990122464,34.61538461538461,40.43887147335424,37.52712804436943,37.08816392036144
Tamil Nadu,2065436,241131,8.0,617.2,77.5,4.8,55.8,54.69788901678906,25.974025974025977,40.33595749540752,37.70741150442478,28.860028860028862,33.28372018222682,30.769230769230766,48.27586206896552,39.52254641909815,37.71407469891083
Odisha  ,661428,128873,11.5,386.7,81.3,6.0,52.4,81.23184414982757,3.2467532467532436,42.239298698290405,21.771294247787605,23.376623376623385,22.573958812205497,42.30769230769231,58.93416927899687,50.620930793344584,38.47806276794683
Puducherry  ,37492,209890,5.0,281.2,92.3,5.8,51.2,62.08219385307027,45.45454545454546,53.768369653807866,14.477323008849554,7.503607503607512,10.990465256228532,40.38461538461537,62.69592476489027,51.540270074752826,38.76636832826308
Rajasthan   ,1218193,135962,11.4,388.8,60.6,4.7,54.7,79.55624679428846,3.896103896103895,41.726175345196175,21.916482300884955,53.24675324675324,37.5816177738191,29.807692307692307,51.72413793103448,40.76591511936339,40.024569412792886
Nagaland ,35007,142363,9.1,71.8,71.7,9.1,58.4,78.04326912849555,18.83116883116884,48.437218979832195,0.0,37.229437229437224,18.614718614718612,72.11538461538461,40.12539184952979,56.1203882324572,41.057441942336006
Meghalaya  ,37830,90638,8.2,109.0,36.5,2.6,60.5,90.26929158797654,24.67532467532469,57.472308131650614,2.571902654867257,88.02308802308802,45.29749533897764,9.615384615384615,33.542319749216304,21.57885218230046,41.44955188430958
 Chandigarh,44910,349373,8.7,299.1,62.6,6.3,42.2,29.11317904947846,21.42857142857143,25.270875239024946,15.714878318584072,50.36075036075035,33.037814339667214,45.19230769230768,90.90909090909089,68.05069930069928,42.119796293130484
Punjab,583891,161888,6.3,240.6,77.6,6.4,48.5,73.42822633446238,37.01298701298702,55.2206066737247,11.670353982300885,28.71572871572873,20.193041349014806,46.15384615384615,71.15987460815046,58.65686038099831,44.690169467912604
Goa,82604,472070,4.1,234.5,81.0,12.0,41.6,0.11180103670052688,51.298701298701296,25.70525116770091,11.248617256637166,23.80952380952381,17.52907053308049,100.0,92.7899686520376,96.3949843260188,46.5431020089334
Bihar  ,675448,49470,11.0,277.1,82.5,5.9,39.3,100.0,6.493506493506501,53.24675324675325,14.193860619469026,21.645021645021643,17.919441132245336,41.34615384615385,100.0,70.67307692307692,47.27975710069183
Uttar Pradesh ,1916913,70792,9.6,322.0,79.2,7.8,48.7,94.96020781283609,15.584415584415595,55.27231169862584,17.298119469026545,26.406926406926402,21.852522937976474,59.615384615384606,70.53291536050155,65.07414998794307,47.39966154151514
Arunachal Pradesh ,35484,215897,9.1,178.0,51.9,7.7,47.1,60.662344323556454,18.83116883116884,39.746756577362646,7.342367256637168,65.80086580086581,36.57161652875149,58.653846153846146,75.54858934169278,67.10121774776945,47.80653028462786
Kerala ,906921,228767,12.0,1274.8,97.5,9.6,48.8,57.620316115658525,0.0,28.810158057829263,83.17201327433628,0.0,41.58600663716814,76.92307692307692,70.21943573667713,73.57125632987703,47.98914034162481
 Assam  ,412612,102965,8.1,194.2,34.3,3.9,52.1,87.3556100247475,25.324675324675326,56.340142674711416,8.462389380530972,91.1976911976912,49.83004028911108,22.115384615384613,59.874608150470216,40.99499638292741,49.05505978224997
Haryana ,870665,264835,11.3,810.4,69.3,9.0,42.5,49.0950734270445,4.545454545454547,26.820263986249522,51.06471238938053,40.6926406926407,45.87867654101062,71.15384615384616,89.96865203761755,80.56124909573185,51.086729874330665
Mizoram  ,24604,188839,-3.4,336.0,63.1,5.4,48.9,67.0579309008138,100.0,83.5289654504069,18.266039823008846,49.63924963924963,33.95264473112924,36.53846153846154,69.90595611285266,53.222208825657106,56.90127300239775
Delhi ,904642,389529,9.1,1518.2,34.1,5.3,42.3,19.62167285551193,18.83116883116884,19.226420843340385,100.0,91.48629148629148,95.74314574314573,35.57692307692307,90.59561128526646,63.08626718109477,59.35194458919363
Manipur  ,33881,84345,1.7,122.3,28.2,9.0,40.6,91.75674174433254,66.88311688311688,79.31992931372471,3.4914269911504423,100.0,51.745713495575224,71.15384615384616,95.92476489028212,83.53930552206414,71.53498277712136
